preference_key,movie_title,star_cast,rating,year,place,vote,link
1,Barrio Chino,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway",8.12509038241334,1974,157,,/title/tt0071315/
2,Toro salvaje,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty",8.12256147902079,1980,158,,/title/tt0081398/
3,V de venganza,"James McTeigue (dir.), Hugo Weaving, Natalie Portman",8.122321795353859,2005,159,,/title/tt0434409/
4,Lo que el viento se llevó,"Victor Fleming (dir.), Clark Gable, Vivien Leigh",8.121390931295748,1939,160,,/title/tt0031381/
1,"Juegos, trampas y dos pistolas humeantes","Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher",8.119969352792397,1998,161,,/title/tt0120735/
2,Con M de Muerte,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly",8.119713762387878,1954,162,,/title/tt0046912/
3,Intensa Mente,"Pete Docter (dir.), Amy Poehler, Bill Hader",8.119555619025382,2015,163,,/title/tt2096673/
4,El secreto de sus ojos,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil",8.117869064015139,2009,164,,/title/tt1305806/
1,El increíble castillo vagabundo,"Hayao Miyazaki (dir.), Chieko Baisho, Takuya Kimura",8.117536062108881,2004,165,,/title/tt0347149/
2,Tres anuncios por un crimen,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson",8.111306056222952,2017,166,,/title/tt5027774/
3,La vida en el abismo,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner",8.110327265355933,1996,167,,/title/tt0117951/
4,El puente sobre el río Kwai,"David Lean (dir.), William Holden, Alec Guinness",8.109871361995339,1957,168,,/title/tt0050212/
1,Intriga,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal",8.107034504829905,2013,169,,/title/tt1392214/
2,La última pelea,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte",8.102407775273115,2011,170,,/title/tt1291584/
3,Fargo Secuestro voluntario,"Joel Coen (dir.), William H. Macy, Frances McDormand",8.102396040750959,1996,171,,/title/tt0116282/
4,Gran Torino,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang",8.100155742111802,2008,172,,/title/tt1205489/
1,Mi vecino Totoro,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka",8.091989426762504,1988,173,,/title/tt0096283/
2,Atrápame si puedes,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks",8.091689109193682,2002,174,,/title/tt0264464/
3,Golpes del destino,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood",8.088547383060888,2004,175,,/title/tt0405159/
4,Los niños del cielo,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian",8.086172668676966,1997,176,,/title/tt0118849/
1,Blade Runner,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer",8.084577725414666,1982,177,,/title/tt0083658/
2,La quimera del oro,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain",8.084326558546346,1925,178,,/title/tt0015864/
3,Klaus,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons",8.081952931921613,2019,179,,/title/tt4729430/
4,Harry Potter y las reliquias de la muerte (parte 2),"David Yates (dir.), Daniel Radcliffe, Emma Watson",8.081073369399757,parte 2,180,,/title/tt1201607/
1,Antes del amanecer,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.080966520495386,1995,181,,/title/tt0112471/
2,12 años esclavo,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams",8.080498963401633,2013,182,,/title/tt2024544/
3,Nido de ratas,"Elia Kazan (dir.), Marlon Brando, Karl Malden",8.07831565411087,1954,183,,/title/tt0047296/
4,Ben-Hur,"William Wyler (dir.), Charlton Heston, Jack Hawkins",8.077939102533975,1959,184,,/title/tt0052618/
1,El gran hotel Budapest,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham",8.077495434652231,2014,185,,/title/tt2278388/
2,Perdida,"David Fincher (dir.), Ben Affleck, Rosamund Pike",8.07701027007851,2014,186,,/title/tt2267998/
3,Fresas silvestres,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson",8.075717933004368,1957,187,,/title/tt0050986/
4,La General,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack",8.074832184017165,1926,188,,/title/tt0017925/
1,Barry Lyndon,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson",8.073811424532613,1975,189,,/title/tt0072684/
2,En el nombre del padre,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite",8.073670278884022,1993,190,,/title/tt0107207/
3,El francotirador,"Michael Cimino (dir.), Robert De Niro, Christopher Walken",8.073039924130086,1978,191,,/title/tt0077416/
4,El tercer hombre,"Carol Reed (dir.), Orson Welles, Joseph Cotten",8.072849400482548,1949,192,,/title/tt0041959/
1,Hasta el último hombre,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington",8.07136114591306,2016,193,,/title/tt2119532/
2,El salario del miedo,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel",8.069951320327174,1953,194,,/title/tt0046268/
3,Salinui chueok,"Bong Joon Ho (dir.), Song Kang-ho, Kim Sang-kyung",8.069285564309698,2003,195,,/title/tt0353969/
4,Sherlock Jr,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire",8.067747120150058,1924,196,,/title/tt0015324/
1,Relatos salvajes,"Damián Szifron (dir.), Darío Grandinetti, María Marull",8.067571395518897,2014,197,,/title/tt3011894/
2,Caballero sin espada,"Frank Capra (dir.), James Stewart, Jean Arthur",8.066177981273384,1939,198,,/title/tt0031679/
3,Mad Max: Furia en el camino,"George Miller (dir.), Tom Hardy, Charlize Theron",8.063577222966199,2015,199,,/title/tt1392190/
4,Mary and Max,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman",8.062696281734283,2009,200,,/title/tt0978762/
1,El séptimo sello,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand",8.061688321243064,1957,201,,/title/tt0050976/
2,Cómo entrenar a tu dragón,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler",8.061353513911904,2010,202,,/title/tt0892769/
3,"Monsters, Inc","Pete Docter (dir.), Billy Crystal, John Goodman",8.06078775159732,2001,203,,/title/tt0198781/
4,Tiburón,"Steven Spielberg (dir.), Roy Scheider, Robert Shaw",8.060057170257851,1975,204,,/title/tt0073195/
1,La sociedad de los poetas muertos,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard",8.060037318053173,1989,205,,/title/tt0097165/
2,Room,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay",8.059791174083836,2015,206,,/title/tt3170832/
3,Identidad peligrosa,"Joel Coen (dir.), Jeff Bridges, John Goodman",8.05789719035479,1998,207,,/title/tt0118715/
4,Cuentos de Tokio,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama",8.05490820082914,1953,208,,/title/tt0046438/
1,La pasión de Juana de Arco,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain",8.052745791271184,1928,209,,/title/tt0019254/
2,Contra lo imposible,"James Mangold (dir.), Matt Damon, Christian Bale",8.049672015245518,2019,210,,/title/tt1950186/
3,Hotel Ruanda,"Terry George (dir.), Don Cheadle, Sophie Okonedo",8.048463130493777,2004,211,,/title/tt0395169/
4,Rocky,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire",8.046661494980741,1976,212,,/title/tt0075148/
1,Pelotón,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger",8.044155349740706,1986,213,,/title/tt0091763/
2,Ratatouille,"Brad Bird (dir.), Brad Garrett, Lou Romano",8.043068552789453,2007,214,,/title/tt0382932/
3,En primera plana,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton",8.041020517327398,2015,215,,/title/tt1895587/
4,Logan Wolverine,"James Mangold (dir.), Hugh Jackman, Patrick Stewart",8.040396329863002,2017,216,,/title/tt3315342/
1,Terminator,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.040034782538973,1984,217,,/title/tt0088247/
2,Cuenta conmigo,"Rob Reiner (dir.), Wil Wheaton, River Phoenix",8.037177010038059,1986,218,,/title/tt0092005/
3,Rush: Pasión y gloria,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth",8.035244262230853,2013,219,,/title/tt1979320/
4,Poder que mata,"Sidney Lumet (dir.), Faye Dunaway, William Holden",8.034543067819426,1976,220,,/title/tt0074958/
1,Antes del atardecer,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.03261647019435,2004,221,,/title/tt0381681/
2,Camino salvaje,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn",8.031230930875076,2007,222,,/title/tt0758758/
3,El mago de Oz,"Victor Fleming (dir.), Judy Garland, Frank Morgan",8.030503878911913,1939,223,,/title/tt0032138/
4,Los mejores años de nuestras vidas,"William Wyler (dir.), Myrna Loy, Dana Andrews",8.028471547703262,1946,224,,/title/tt0036868/
1,Hechizo del tiempo,"Harold Ramis (dir.), Bill Murray, Andie MacDowell",8.026995655777812,1993,225,,/title/tt0107048/
2,El exorcista,"William Friedkin (dir.), Ellen Burstyn, Max von Sydow",8.02660992967327,1973,226,,/title/tt0070047/
3,Los increíbles,"Brad Bird (dir.), Craig T. Nelson, Samuel L. Jackson",8.024927562964558,2004,227,,/title/tt0317705/
4,La canción del camino,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee",8.024743507745756,1955,228,,/title/tt0048473/
1,El odio,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé",8.024324429902267,1995,229,,/title/tt0113247/
2,Ser o no ser,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny",8.02419810058676,1942,230,,/title/tt0035446/
3,Piratas del Caribe: La maldición del Perla Negra,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush",8.023319721997881,2003,231,,/title/tt0325980/
4,Siempre a tu lado,"Lasse Hallström (dir.), Richard Gere, Joan Allen",8.022122884407091,2009,232,,/title/tt1028532/
1,Las viñas de la ira,"John Ford (dir.), Henry Fonda, Jane Darwell",8.022017264815547,1940,233,,/title/tt0032551/
2,La batalla de Argel,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin",8.021815546718635,1966,234,,/title/tt0058946/
3,Jai Bhim,"T.J. Gnanavel (dir.), Suriya, Lijo Mol Jose",8.020495715216741,2021,235,,/title/tt15097216/
4,Babam ve Oglum,"Çagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan",8.020155745611502,2005,236,,/title/tt0476735/
1,Amores perros,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal",8.01957530512127,2000,237,,/title/tt0245712/
2,"Rebeca, una mujer inolvidable","Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine",8.018750025233537,1940,238,,/title/tt0032976/
3,La leyenda del indomable,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy",8.018333234987596,1967,239,,/title/tt0061512/
4,The Handmaiden,"Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo",8.017266554375764,2016,240,,/title/tt4016934/
1,Los 400 golpes,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy",8.013563332209536,1959,241,,/title/tt0053198/
2,La novicia rebelde,"Robert Wise (dir.), Julie Andrews, Christopher Plummer",8.013142903337966,1965,242,,/title/tt0059742/
3,Sucedió una noche,"Frank Capra (dir.), Clark Gable, Claudette Colbert",8.01261348050052,1934,243,,/title/tt0025316/
4,Persona,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann",8.01132753386048,1966,244,,/title/tt0060827/
1,La vida de Brian,"Terry Jones (dir.), Graham Chapman, John Cleese",8.00900641637668,1979,245,,/title/tt0079470/
2,El gigante de hierro,"Brad Bird (dir.), Eli Marienthal, Harry Connick Jr.",8.005763280816689,1999,246,,/title/tt0129167/
3,Historias cruzadas,"Tate Taylor (dir.), Viola Davis, Emma Stone",8.005520694588244,2011,247,,/title/tt1454029/
4,Dersu Uzala,"Akira Kurosawa (dir.), Maksim Munzuk, Yuriy Solomin",8.004634640001179,1975,248,,/title/tt0071411/
1,Aladdín,"Ron Clements (dir.), Scott Weinger, Robin Williams",8.00384602538599,1992,249,,/title/tt0103639/
2,Danza con lobos,"Kevin Costner (dir.), Kevin Costner, Mary McDonnell",8.001523125251891,1990,250,,/title/tt0099348/
